iter	Logloss
0	0.6882101135
1	0.6823795227
2	0.6766323669
3	0.6705854187
4	0.6647225464
5	0.6590326599
6	0.6537882629
7	0.6486115356
8	0.6435024719
9	0.6392808228
10	0.6342585571
11	0.6297357056
12	0.624590033
13	0.619700592
14	0.6151311829
15	0.6108693787
16	0.6059516541
17	0.6015000183
18	0.5970778442
19	0.5932225037
20	0.589097699
21	0.5847322205
22	0.5807016418
23	0.5774386475
24	0.5733988831
25	0.5691056274
26	0.5654369873
27	0.5620924316
28	0.5587859985
29	0.5560150024
30	0.5528871704
31	0.550482373
32	0.547333844
33	0.543775708
34	0.5407690857
35	0.5374972595
36	0.5352143311
37	0.5322367798
38	0.5288588989
39	0.5261904114
40	0.5234021301
41	0.521231134
42	0.5186603638
43	0.5158640503
44	0.5132162964
45	0.5104315063
46	0.5077725098
47	0.5051466064
48	0.5024327698
49	0.499580658
