iter	Passed	Remaining
0	19	966
1	19	966
2	19	966
3	19	966
4	19	966
5	19	966
6	19	966
7	19	966
8	19	966
9	115	2302
10	3961	51498
11	7742	73557
12	11204	82915
13	16140	96843
14	19372	96864
15	22457	95446
16	25452	93326
17	28482	91143
18	31763	89515
19	35023	87559
20	38460	85797
21	42172	84345
22	45347	81625
23	45429	73823
24	48924	71947
25	51843	69124
26	54882	66437
27	58040	63844
28	61272	61272
29	61550	55955
30	64580	53349
31	64589	48442
32	67873	46153
33	71443	43965
34	75860	42144
35	79079	39539
36	79090	35454
37	82217	32887
38	85018	30167
39	87865	27458
40	90678	24730
41	90699	21341
42	93523	18704
43	96374	16062
44	99370	13428
45	102533	10792
46	105626	8125
47	108812	5440
48	112725	2749
49	117074	0
